```json
{
    "matchup": "Belgium vs Slovenia",
    "final_score": "Belgium: 146, Slovenia: 104",
    "final_stats": {
        "Belgium": {
            "stats": {
                "points": 146,
                "assists": 35,
                "rebounds": 40,
                "defensive_rebounds": 31,
                "offensive_rebounds": 9,
                "fouls": 11,
                "steals": 12,
                "blocks": 9,
                "turnovers": 9,
                "2pt_shots_made": 25,
                "2pt_shots_attempted": 36,
                "3pt_shots_made": 23,
                "3pt_shots_attempted": 42,
                "ft_made": 17,
                "ft_attempted": 25
            },
            "players": {
                "Jean-Marc Mwema": {
                    "points": 12,
                    "assists": 5,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 3,
                    "steals": 0,
                    "blocks": 3,
                    "turnovers": 0,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 7,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 6,
                    "ft_made": 2,
                    "ft_attempted": 3
                },
                "Siebe Ledegen": {
                    "points": 12,
                    "assists": 8,
                    "rebounds": 8,
                    "defensive_rebounds": 8,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 3,
                    "blocks": 1,
                    "turnovers": 3,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 4,
                    "ft_made": 2,
                    "ft_attempted": 3
                },
                "Niels Van Den Eynde": {
                    "points": 8,
                    "assists": 3,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 0,
                    "turnovers": 0,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 3,
                    "ft_made": 0,
                    "ft_attempted": 2
                },
                "Mamadou Guisse": {
                    "points": 21,
                    "assists": 5,
                    "rebounds": 4,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 2,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 2,
                    "turnovers": 2,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 5,
                    "3pt_shots_attempted": 7,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Kevin Tumba": {
                    "points": 3,
                    "assists": 0,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 0,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 0,
