```json
{
    "matchup": "Slovenia vs France",
    "final_score": "Slovenia: 155, France: 153",
    "final_stats": {
        "Slovenia": {
            "stats": {
                "points": 155,
                "assists": 44,
                "rebounds": 25,
                "defensive_rebounds": 18,
                "offensive_rebounds": 7,
                "fouls": 11,
                "steals": 14,
                "blocks": 15,
                "turnovers": 12,
                "2pt_shots_made": 33,
                "2pt_shots_attempted": 47,
                "3pt_shots_made": 20,
                "3pt_shots_attempted": 34,
                "ft_made": 29,
                "ft_attempted": 42
            },
            "players": {
                "Luka Doncic": {
                    "points": 14,
                    "assists": 3,
                    "rebounds": 1,
                    "defensive_rebounds": 0,
                    "offensive_rebounds": 1,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 2,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 3,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Martin Krampelj": {
                    "points": 11,
                    "assists": 4,
                    "rebounds": 4,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 1,
                    "fouls": 4,
                    "steals": 2,
                    "blocks": 4,
                    "turnovers": 2,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 2,
                    "ft_made": 0,
                    "ft_attempted": 6
                },
                "Leon Stergar": {
                    "points": 6,
                    "assists": 4,
                    "rebounds": 6,
                    "defensive_rebounds": 6,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 5,
                    "blocks": 2,
                    "turnovers": 2,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 3,
                    "ft_made": 4,
                    "ft_attempted": 5
                },
                "Mark Padjen": {
                    "points": 14,
                    "assists": 7,
                    "rebounds": 4,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 3,
                    "fouls": 1,
                    "steals": 3,
                    "blocks": 2,
                    "turnovers": 1,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 5,
                    "ft_made": 3,
                    "ft_attempted": 7
                },
                "Klemen Prepelic": {
                    "points": 24,
                    "assists": 5,
                    "rebounds": 1,
                    "defensive_rebounds": 0,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 6,
                    "turnovers": 4,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 8,
                    "3pt_shots_made": 5,
                    "3pt_shots_attempted": 5,
                    "ft_made": 3,
                    "ft_attempted": 6
                },
                "Luka Scuka": {
                    "points": 18,
                    "assists": 3,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 2,
                    "blocks": 1,
                    "turnovers": 2,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 4,
                    "ft_made": 1,
                    "ft_attempted": 1
                },
                "Alen Omic": {
                    "points": 2,
                    "assists": 0,
                    "rebounds": 0,
                    "defensive_rebounds": 0,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 0,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 0,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Aleksej Nikolic": {
                    "points": 7,
                    "assists": 5,
                    "rebounds": 2,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 2,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 3,
                    "ft_made": 1,
                    "ft_attempted": 2
                },
                "Robert Jurkovic": {
                    "points": 14,
                    "assists": 3,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 2,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 3,
                    "ft_made": 4,
                    "ft_attempted": 6
                },
                "Rok Radovic": {
                    "points": 20,
                    "assists": 2,
                    "rebounds": 5,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 6,
                    "2pt_shots_attempted": 8,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 5,
                    "ft_made": 2,
                    "ft_attempted": 5
                },
                "Gregor Hrovat": {
                    "points": 11,
                    "assists": 5,
                    "rebounds": 2,
                    "defensive_rebounds": 0,
                    "offensive_rebounds": 2,
                    "fouls": 0,
                    "steals": 1,
                    "blocks": 0,
                    "turnovers": 0,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 3,
                    "ft_made": 3,
                    "ft_attempted": 3
                },
                "Edo Muric": {
                    "points": 14,
                    "assists": 10,
                    "rebounds": 5,
                    "defensive_rebounds": 5,
                    "offensive_rebounds": 1,
                    "fouls": 0,
                    "steals": 2,
                    "blocks": 3,
                    "turnovers": 0,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 7,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 5,
                    "ft_made": 2,
                    "ft_attempted": 2
                }
            }
        },
        "France": {
            "stats": {
                "points": 153,
                "assists": 46,
                "rebounds": 24,
                "defensive_rebounds": 15,
                "offensive_rebounds": 9,
                "fouls": 13,
                "steals": 8,
                "blocks": 13,
                "turnovers": 12,
                "2pt_shots_made": 33,
                "2pt_shots_attempted": 42,
                "3pt_shots_made": 19,
                "3pt_shots_attempted": 33,
                "ft_made": 30,
                "ft_attempted": 39
            },
            "players": {
                "Bilal Coulibaly": {
                    "points": 14,
                    "assists": 6,
                    "rebounds": 3,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 2,
                    "fouls": 0,
                    "steals": 1,
                    "blocks": 0,
                    "turnovers": 2,
                    "2pt_shots_made": 7,
                    "2pt_shots_attempted": 11,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 1,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Sylvain Francisco": {
                    "points": 17,
                    "assists": 5,
                    "rebounds": 3,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 1,
                    "fouls": 3,
                    "steals": 2,
                    "blocks": 0,
                    "turnovers": 3,
                    "2pt_shots_made": 7,
                    "2pt_shots_attempted": 8,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 1,
                    "ft_made": 3,
                    "ft_attempted": 8
                },
                "Timothe Luwawu-Cabarrot": {
                    "points": 21,
                    "assists": 4,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 3,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 6,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 6,
                    "ft_made": 3,
                    "ft_attempted": 5
                },
                "Guerschon Yabusele": {
                    "points": 14,
                    "assists": 7,
                    "rebounds": 4,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 3,
                    "blocks": 0,
                    "turnovers": 3,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 6,
                    "ft_made": 0,
                    "ft_attempted": 2
                },
                "Isaia Cordinier": {
                    "points": 14,
                    "assists": 6,
                    "rebounds": 6,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 2,
                    "fouls": 2,
                    "steals": 0,
                    "blocks": 2,
                    "turnovers": 1,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 6,
                    "ft_made": 3,
                    "ft_attempted": 4
                },
                "Alexandre Sarr": {
                    "points": 3,
                    "assists": 4,
                    "rebounds": 4,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 1,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 0,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 0,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 3,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Theo Maledon": {
                    "points": 6,
                    "assists": 3,
                    "rebounds": 0,
                    "defensive_rebounds": 0,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 2,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 1,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Zaccharie Risacher": {
                    "points": 0,
                    "assists": 0,
                    "rebounds": 0,
                    "defensive_rebounds": 0,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 0,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 0,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 0,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Jaylen Hoard": {
                    "points": 13,
                    "assists": 2,
                    "rebounds": 2,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 3,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 5,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Elie Okobo": {
                    "points": 21,
                    "assists": 5,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 4,
                    "turnovers": 1,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 5,
                    "3pt_shots_attempted": 7,
                    "ft_made": 4,
                    "ft_attempted": 4
                },
                "Nadir Hifi": {
                    "points": 14,
                    "assists": 4,
                    "rebounds": 4,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 1,
                    "fouls": 0,
                    "steals": 1,
                    "blocks": 3,
                    "turnovers": 0,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 4,
                    "ft_made": 3,
                    "ft_attempted": 3
                },
                "Mouhammadou Jaiteh": {
                    "points": 12,
                    "assists": 2,
                    "rebounds": 2,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 1,
                    "fouls": 3,
                    "steals": 0,
                    "blocks": 2,
                    "turnovers": 2,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 5,
                    "ft_made": 2,
                    "ft_attempted": 4
                }
            }
        }
    }
}
```
