```json
{
    "matchup": "Iceland vs Poland",
    "final_score": "Iceland: 171, Poland: 141",
    "final_stats": {
        "Iceland": {
            "stats": {
                "points": 171,
                "assists": 46,
                "rebounds": 43,
                "defensive_rebounds": 33,
                "offensive_rebounds": 10,
                "fouls": 9,
                "steals": 11,
                "blocks": 13,
                "turnovers": 12,
                "2pt_shots_made": 33,
                "2pt_shots_attempted": 45,
                "3pt_shots_made": 28,
                "3pt_shots_attempted": 41,
                "ft_made": 21,
                "ft_attempted": 33
            },
            "players": {
                "Almar Orri Atlason": {
                    "points": 9,
                    "assists": 2,
                    "rebounds": 2,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 0,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 0,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 3,
                    "ft_made": 3,
                    "ft_attempted": 6
                },
                "Jon Axel Gudmundsson": {
                    "points": 15,
                    "assists": 4,
                    "rebounds": 2,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 3,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 3,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Styrmir Thrastarson": {
                    "points": 9,
                    "assists": 4,
                    "rebounds": 0,
                    "defensive_rebounds": 0,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 0,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 2,
                    "ft_made": 2,
                    "ft_attempted": 3
                },
                "Orri Gunnarsson": {
                    "points": 21,
                    "assists": 7,
                    "rebounds": 4,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 5,
                    "2pt_shots_attempted": 10,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 4,
                    "ft_made": 5,
                    "ft_attempted": 8
                },
                "Kristinn Palsson": {
                    "points": 16,
                    "assists": 9,
                    "rebounds": 9,
                    "defensive_rebounds": 6,
                    "offensive_rebounds": 3,
                    "fouls": 2,
                    "steals": 2,
                    "blocks": 3,
                    "turnovers": 2,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 10,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 6,
                    "ft_made": 2,
                    "ft_attempted": 5
                },
                "Karl Jonsson": {
                    "points": 8,
                    "assists": 6,
                    "rebounds": 5,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 1,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 0,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 3,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Sigtryggur Bjornsson": {
                    "points": 11,
                    "assists": 5,
                    "rebounds": 5,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 1,
                    "fouls": 3,
                    "steals": 1,
                    "blocks": 0,
                    "turnovers": 5,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 4,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Aegir Steinarsson": {
                    "points": 40,
                    "assists": 6,
                    "rebounds": 6,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 2,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 4,
                    "turnovers": 1,
                    "2pt_shots_made": 5,
                    "2pt_shots_attempted": 7,
                    "3pt_shots_made": 8,
                    "3pt_shots_attempted": 11,
                    "ft_made": 6,
                    "ft_attempted": 10
                },
                "Tryggvi Hlinason": {
                    "points": 9,
                    "assists": 3,
                    "rebounds": 5,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 2,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 2,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 4,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Elvar Fridriksson": {
                    "points": 22,
                    "assists": 3,
                    "rebounds": 2,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 4,
                    "turnovers": 2,
                    "2pt_shots_made": 5,
                    "2pt_shots_attempted": 7,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 3,
                    "ft_made": 3,
                    "ft_attempted": 6
                },
                "Hilmar Henningsson": {
                    "points": 5,
                    "assists": 2,
                    "rebounds": 0,
                    "defensive_rebounds": 0,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 0,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 2,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Martin Hermannsson": {
                    "points": 8,
                    "assists": 5,
                    "rebounds": 8,
                    "defensive_rebounds": 5,
                    "offensive_rebounds": 3,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 4,
                    "ft_made": 0,
                    "ft_attempted": 0
                }
            }
        },
        "Poland": {
            "stats": {
                "points": 141,
                "assists": 44,
                "rebounds": 40,
                "defensive_rebounds": 28,
                "offensive_rebounds": 12,
                "fouls": 13,
                "steals": 11,
                "blocks": 14,
                "turnovers": 7,
                "2pt_shots_made": 31,
                "2pt_shots_attempted": 47,
                "3pt_shots_made": 18,
                "3pt_shots_attempted": 37,
                "ft_made": 25,
                "ft_attempted": 32
            },
            "players": {
                "Dominik Olejniczak": {
                    "points": 15,
                    "assists": 12,
                    "rebounds": 5,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 2,
                    "fouls": 4,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 0,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 9,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 3,
                    "ft_made": 4,
                    "ft_attempted": 5
                },
                "Aleksander Dziewa": {
                    "points": 9,
                    "assists": 9,
                    "rebounds": 5,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 2,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 0,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 3,
                    "ft_made": 2,
                    "ft_attempted": 3
                },
                "Przemyslaw Zolnierewicz": {
                    "points": 13,
                    "assists": 6,
                    "rebounds": 4,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 2,
                    "blocks": 1,
                    "turnovers": 0,
                    "2pt_shots_made": 5,
                    "2pt_shots_attempted": 8,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 3,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Aleksander Balcerowski": {
                    "points": 24,
                    "assists": 8,
                    "rebounds": 4,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 2,
                    "turnovers": 3,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 8,
                    "3pt_shots_made": 5,
                    "3pt_shots_attempted": 9,
                    "ft_made": 1,
                    "ft_attempted": 3
                },
                "Michal Sokolowski": {
                    "points": 7,
                    "assists": 3,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 4,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Kamil Laczynski": {
                    "points": 17,
                    "assists": 6,
                    "rebounds": 4,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 1,
                    "fouls": 2,
                    "steals": 2,
                    "blocks": 2,
                    "turnovers": 1,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 5,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Tomasz Gielo": {
                    "points": 8,
                    "assists": 4,
                    "rebounds": 7,
                    "defensive_rebounds": 7,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 2,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 7,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 1,
                    "ft_made": 2,
                    "ft_attempted": 5
                },
                "Mateusz Ponitka": {
                    "points": 0,
                    "assists": 0,
                    "rebounds": 0,
                    "defensive_rebounds": 0,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 0,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 0,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 0,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Andrzej Pluta": {
                    "points": 15,
                    "assists": 6,
                    "rebounds": 5,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 4,
                    "turnovers": 1,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 9,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Jordan Loyd": {
                    "points": 10,
                    "assists": 4,
                    "rebounds": 5,
                    "defensive_rebounds": 5,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 3,
                    "turnovers": 1,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 5,
                    "ft_made": 3,
                    "ft_attempted": 3
                },
                "Michal Michalak": {
                    "points": 12,
                    "assists": 5,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 0,
                    "steals": 1,
                    "blocks": 3,
                    "turnovers": 0,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 4,
                    "ft_made": 2,
                    "ft_attempted": 4
                },
                "Szymon Zapala": {
                    "points": 11,
                    "assists": 4,
                    "rebounds": 4,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 1,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 0,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 2,
                    "ft_made": 0,
                    "ft_attempted": 0
                }
            }
        }
    }
}
```
