```json
{
    "matchup": "Slovenia vs Poland",
    "final_score": "Slovenia: 111, Poland: 106",
    "final_stats": {
        "Slovenia": {
            "stats": {
                "points": 111,
                "assists": 27,
                "rebounds": 32,
                "defensive_rebounds": 26,
                "offensive_rebounds": 6,
                "fouls": 15,
                "steals": 11,
                "blocks": 14,
                "turnovers": 12,
                "2pt_shots_made": 23,
                "2pt_shots_attempted": 33,
                "3pt_shots_made": 13,
                "3pt_shots_attempted": 26,
                "ft_made": 6,
                "ft_attempted": 20
            },
            "players": {
                "Martin Krampelj": {
                    "points": 5,
                    "assists": 2,
                    "rebounds": 2,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 2,
                    "blocks": 5,
                    "turnovers": 3,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 2,
                    "ft_made": 0,
                    "ft_attempted": 5
                },
                "Alen Omic": {
                    "points": 9,
                    "assists": 2,
                    "rebounds": 6,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 3,
                    "fouls": 2,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 0,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 2,
                    "ft_made": 0,
                    "ft_attempted": 3
                },
                "Robert Jurkovic": {
                    "points": 18,
                    "assists": 6,
                    "rebounds": 4,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 2,
                    "fouls": 2,
                    "steals": 2,
                    "blocks": 2,
                    "turnovers": 0,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 6,
                    "ft_made": 1,
                    "ft_attempted": 1
                },
                "Leon Stergar": {
                    "points": 14,
                    "assists": 6,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 2,
                    "steals": 0,
                    "blocks": 5,
                    "turnovers": 1,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 3,
                    "ft_made": 3,
                    "ft_attempted": 10
                },
                "Mark Padjen": {
                    "points": 6,
                    "assists": 2,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 1,
                    "blocks": 2,
                    "turnovers": 1,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 2,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Klemen Prepelic": {
                    "points": 7,
                    "assists": 1,
                    "rebounds": 2,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 2,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 4,
                    "ft_made": 2,
                    "ft_attempted": 3
                },
                "Gregor Hrovat": {
                    "points": 17,
                    "assists": 3,
                    "rebounds": 4,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 1,
                    "fouls": 2,
                    "steals": 2,
                    "blocks": 2,
                    "turnovers": 2,
                    "2pt_shots_made": 7,
                    "2pt_shots_attempted": 8,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 3,
                    "ft_made": 0,
                    "ft_attempted": 2
                },
                "Luka Doncic": {
                    "points": 0,
                    "assists": 0,
                    "rebounds": 0,
                    "defensive_rebounds": 0,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 0,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 0,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 0,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Rok Radovic": {
                    "points": 10,
                    "assists": 2,
                    "rebounds": 6,
                    "defensive_rebounds": 6,
                    "offensive_rebounds": 0,
                    "fouls": 4,
                    "steals": 3,
                    "blocks": 2,
                    "turnovers": 3,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 4,
                    "ft_made": 1,
                    "ft_attempted": 8
                },
                "Edo Muric": {
                    "points": 7,
                    "assists": 2,
                    "rebounds": 4,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 2,
                    "fouls": 0,
                    "steals": 1,
                    "blocks": 2,
                    "turnovers": 0,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 2,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Aleksej Nikolic": {
                    "points": 2,
                    "assists": 1,
                    "rebounds": 2,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 0,
