```json
{
    "matchup": "Poland vs Iceland",
    "final_score": "Poland: 118, Iceland: 150",
    "final_stats": {
        "Poland": {
            "stats": {
                "points": 118,
                "assists": 15,
                "rebounds": 40,
                "defensive_rebounds": 29,
                "offensive_rebounds": 11,
                "fouls": 11,
                "steals": 10,
                "blocks": 13,
                "turnovers": 12,
                "2pt_shots_made": 20,
                "2pt_shots_attempted": 33,
                "3pt_shots_made": 16,
                "3pt_shots_attempted": 42,
                "ft_made": 20,
                "ft_attempted": 28
            },
            "players": {
                "Dominik Olejniczak": {
                    "points": 11,
                    "assists": 2,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 2,
                    "turnovers": 1,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 8,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Andrzej Pluta": {
                    "points": 7,
                    "assists": 4,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 3,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Michal Michalak": {
                    "points": 0,
                    "assists": 2,
                    "rebounds": 8,
                    "defensive_rebounds": 5,
                    "offensive_rebounds": 3,
                    "fouls": 2,
                    "steals": 3,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 5,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Aleksander Balcerowski": {
                    "points": 10,
                    "assists": 3,
                    "rebounds": 2,
                    "defensive_rebounds": 0,
                    "offensive_rebounds": 2,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 4,
