```json
{
    "matchup": "France vs Israel",
    "final_score": "France: 122, Israel: 114",
    "final_stats": {
        "France": {
            "stats": {
                "points": 122,
                "assists": 27,
                "rebounds": 38,
                "defensive_rebounds": 27,
                "offensive_rebounds": 11,
                "fouls": 11,
                "steals": 10,
                "blocks": 9,
                "turnovers": 12,
                "2pt_shots_made": 25,
                "2pt_shots_attempted": 38,
                "3pt_shots_made": 15,
                "3pt_shots_attempted": 26,
                "ft_made": 17,
                "ft_attempted": 28
            },
            "players": {
                "Nadir Hifi": {
                    "points": 12,
                    "assists": 4,
                    "rebounds": 5,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 3,
                    "fouls": 2,
                    "steals": 0,
                    "blocks": 2,
                    "turnovers": 3,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 3,
                    "ft_made": 2,
                    "ft_attempted": 6
                },
                "Bilal Coulibaly": {
                    "points": 15,
                    "assists": 2,
                    "rebounds": 3,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 2,
                    "fouls": 2,
                    "steals": 3,
                    "blocks": 1,
                    "turnovers": 3,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 5,
                    "ft_made": 5,
                    "ft_attempted": 9
                },
                "Zaccharie Risacher": {
                    "points": 14,
                    "assists": 3,
                    "rebounds": 8,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 4,
                    "fouls": 3,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 2,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 4,
                    "ft_made": 2,
                    "ft_attempted": 5
                },
                "Sylvain Francisco": {
                    "points": 10,
                    "assists": 4,
                    "rebounds": 2,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 0,
                    "fouls": 3,
                    "steals": 0,
                    "blocks": 1,
