```json
{
    "matchup": "Israel vs Slovenia",
    "final_score": "Israel: 185, Slovenia: 184",
    "final_stats": {
        "Israel": {
            "stats": {
                "points": 185,
                "assists": 28,
                "rebounds": 41,
                "defensive_rebounds": 29,
                "offensive_rebounds": 12,
                "fouls": 14,
                "steals": 11,
                "blocks": 13,
                "turnovers": 17,
                "2pt_shots_made": 36,
                "2pt_shots_attempted": 49,
                "3pt_shots_made": 28,
                "3pt_shots_attempted": 45,
                "ft_made": 13,
                "ft_attempted": 20
            },
            "players": {
                "Yovel Zoosman": {
                    "points": 20,
                    "assists": 4,
                    "rebounds": 6,
                    "defensive_rebounds": 5,
                    "offensive_rebounds": 1,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 0,
                    "turnovers": 4,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 4,
                    "3pt_shots_attempted": 8,
                    "ft_made": 0,
                    "ft_attempted": 3
                },
                "Guy Palatin": {
                    "points": 14,
                    "assists": 4,
                    "rebounds": 4,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 4,
                    "turnovers": 5,
                    "2pt_shots_made": 5,
                    "2pt_shots_attempted": 8,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 3,
                    "ft_made": 1,
                    "ft_attempted": 3
                },
                "Nimrod Levi": {
                    "points": 13,
                    "assists": 3,
                    "rebounds": 4,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 2,
                    "fouls": 3,
                    "steals": 1,
                    "blocks": 2,
                    "turnovers": 3,
                    "2pt_shots_made": 5,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 2,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Khadeen Carrington": {
                    "points": 21,
                    "assists": 2,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 2,
                    "steals": 0,
                    "blocks": 2,
                    "turnovers": 1,
                    "2pt_shots_made": 6,
                    "2pt_shots_attempted": 8,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 4,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Itay Segev": {
                    "points": 10,
                    "assists": 3,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 2,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 3,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 2,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Deni Avdija": {
                    "points": 2,
                    "assists": 2,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 0,
                    "turnovers": 2,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 1,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Tomer Ginat": {
                    "points": 16,
                    "assists": 4,
                    "rebounds": 4,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 0,
                    "fouls": 4,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 2,
                    "2pt_shots_made": 5,
                    "2pt_shots_attempted": 7,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 4,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Ethan Burg": {
                    "points": 4,
                    "assists": 2,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 5,
                    "turnovers": 0,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 5,
                    "ft_made": 1,
                    "ft_attempted": 2
                },
                "Rafi Menco": {
                    "points": 21,
                    "assists": 1,
                    "rebounds": 7,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 3,
                    "fouls": 3,
                    "steals": 2,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 4,
                    "3pt_shots_attempted": 8,
                    "ft_made": 3,
                    "ft_attempted": 6
                },
                "Bar Timor": {
                    "points": 14,
                    "assists": 4,
                    "rebounds": 5,
                    "defensive_rebounds": 5,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 2,
                    "blocks": 1,
                    "turnovers": 3,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 4,
                    "ft_made": 4,
                    "ft_attempted": 5
                },
                "Roman Sorkin": {
                    "points": 16,
                    "assists": 1,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 0,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 4,
                    "3pt_shots_attempted": 6,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Yam Madar": {
                    "points": 14,
                    "assists": 5,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 2,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 5,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 6,
                    "ft_made": 0,
                    "ft_attempted": 0
                }
            }
        },
        "Slovenia": {
            "stats": {
                "points": 184,
                "assists": 34,
                "rebounds": 43,
                "defensive_rebounds": 32,
                "offensive_rebounds": 11,
                "fouls": 15,
                "steals": 12,
                "blocks": 16,
                "turnovers": 12,
                "2pt_shots_made": 27,
                "2pt_shots_attempted": 44,
                "3pt_shots_made": 29,
                "3pt_shots_attempted": 44,
                "ft_made": 15,
