```json
{
    "matchup": "Belgium vs Poland",
    "final_score": "Belgium: 239, Poland: 218",
    "final_stats": {
        "Belgium": {
            "stats": {
                "points": 239,
                "assists": 44,
                "rebounds": 43,
                "defensive_rebounds": 34,
                "offensive_rebounds": 9,
                "fouls": 11,
                "steals": 10,
                "blocks": 15,
                "turnovers": 13,
                "2pt_shots_made": 36,
                "2pt_shots_attempted": 53,
                "3pt_shots_made": 44,
                "3pt_shots_attempted": 64,
                "ft_made": 7,
                "ft_attempted": 19
            },
            "players": {
                "Loic Schwartz": {
                    "points": 21,
                    "assists": 3,
                    "rebounds": 4,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 1,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 3,
                    "turnovers": 1,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 5,
                    "3pt_shots_attempted": 6,
                    "ft_made": 0,
                    "ft_attempted": 2
                },
                "Kevin Tumba": {
                    "points": 24,
                    "assists": 6,
                    "rebounds": 2,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 3,
                    "steals": 1,
                    "blocks": 2,
                    "turnovers": 3,
                    "2pt_shots_made": 5,
                    "2pt_shots_attempted": 9,
                    "3pt_shots_made": 4,
                    "3pt_shots_attempted": 5,
                    "ft_made": 3,
                    "ft_attempted": 5
                },
                "Godwin Tshimanga": {
                    "points": 25,
                    "assists": 8,
                    "rebounds": 4,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 3,
                    "turnovers": 0,
                    "2pt_shots_made": 6,
                    "2pt_shots_attempted": 7,
                    "3pt_shots_made": 4,
                    "3pt_shots_attempted": 4,
                    "ft_made": 1,
                    "ft_attempted": 2
                },
                "Emmanuel Lecomte": {
                    "points": 3,
                    "assists": 2,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 5,
                    "ft_made": 0,
                    "ft_attempted": 3
                },
                "Niels Van Den Eynde": {
                    "points": 25,
                    "assists": 6,
                    "rebounds": 7,
                    "defensive_rebounds": 5,
                    "offensive_rebounds": 2,
                    "fouls": 2,
                    "steals": 2,
                    "blocks": 1,
                    "turnovers": 4,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 5,
                    "3pt_shots_attempted": 11,
                    "ft_made": 0,
                    "ft_attempted": 2
                },
                "Joppe Mennes": {
                    "points": 10,
                    "assists": 5,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 2,
                    "turnovers": 0,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 0,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 6,
                    "ft_made": 1,
                    "ft_attempted": 2
                },
                "Jean-Marc Mwema": {
                    "points": 13,
                    "assists": 5,
                    "rebounds": 4,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 3,
                    "ft_made": 0,
                    "ft_attempted": 2
                },
                "Andy van Vliet": {
                    "points": 12,
                    "assists": 4,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 4,
                    "ft_made": 1,
                    "ft_attempted": 3
                },
                "Siebe Ledegen": {
                    "points": 9,
                    "assists": 2,
                    "rebounds": 2,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 1,
                    "fouls": 2,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 0,
                    "2pt_shots_made": 0,
