```json
{
    "matchup": "Poland vs Iceland",
    "final_score": "Poland: 168, Iceland: 161",
    "final_stats": {
        "Poland": {
            "stats": {
                "points": 168,
                "assists": 23,
                "rebounds": 43,
                "defensive_rebounds": 32,
                "offensive_rebounds": 11,
                "fouls": 13,
                "steals": 8,
                "blocks": 15,
                "turnovers": 11,
                "2pt_shots_made": 28,
                "2pt_shots_attempted": 45,
                "3pt_shots_made": 26,
                "3pt_shots_attempted": 44,
                "ft_made": 14,
                "ft_attempted": 22
            },
            "players": {
                "Andrzej Pluta": {
                    "points": 12,
                    "assists": 4,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 3,
                    "turnovers": 0,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 8,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 6,
                    "ft_made": 1,
                    "ft_attempted": 3
                },
                "Przemyslaw Zolnierewicz": {
                    "points": 16,
                    "assists": 3,
                    "rebounds": 3,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 2,
                    "fouls": 2,
                    "steals": 4,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 9,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 4,
                    "ft_made": 1,
                    "ft_attempted": 4
                },
                "Mateusz Ponitka": {
                    "points": 19,
                    "assists": 3,
                    "rebounds": 2,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 3,
                    "blocks": 4,
                    "turnovers": 4,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 4,
                    "3pt_shots_attempted": 6,
                    "ft_made": 2,
                    "ft_attempted": 3
                },
                "Jordan Loyd": {
                    "points": 10,
                    "assists": 1,
                    "rebounds": 4,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 3,
                    "turnovers": 1,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 2,
                    "ft_made": 2,
                    "ft_attempted": 0
                },
                "Dominik Olejniczak": {
                    "points": 14,
                    "assists": 1,
                    "rebounds": 6,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 2,
                    "fouls": 3,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 6,
                    "ft_made": 1,
                    "ft_attempted": 2
                },
                "Kamil Laczynski": {
                    "points": 8,
                    "assists": 2,
                    "rebounds": 3,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 0,
                    "fouls": 2,
