```json
{
    "matchup": "Poland vs Slovenia",
    "final_score": "Poland: 114, Slovenia: 106",
    "final_stats": {
        "Poland": {
            "stats": {
                "points": 114,
                "assists": 28,
                "rebounds": 45,
                "defensive_rebounds": 31,
                "offensive_rebounds": 14,
                "fouls": 17,
                "steals": 13,
                "blocks": 19,
                "turnovers": 14,
                "2pt_shots_made": 27,
                "2pt_shots_attempted": 39,
                "3pt_shots_made": 12,
                "3pt_shots_attempted": 25,
                "ft_made": 24,
                "ft_attempted": 41
            },
            "players": {
                "Przemyslaw Zolnierewicz": {
                    "points": 6,
                    "assists": 0,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 3,
                    "steals": 2,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 1,
                    "ft_made": 0,
                    "ft_attempted": 3
                },
                "Tomasz Gielo": {
                    "points": 8,
                    "assists": 1,
                    "rebounds": 5,
                    "defensive_rebounds": 5,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 1,
                    "blocks": 3,
                    "turnovers": 3,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 5,
                    "ft_made": 4,
                    "ft_attempted": 7
                },
                "Andrzej Pluta": {
                    "points": 14,
                    "assists": 6,
                    "rebounds": 4,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 2,
                    "fouls": 3,
                    "steals": 2,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 5,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 7,
                    "ft_made": 1,
                    "ft_attempted": 3
                },
                "Michal Michalak": {
                    "points": 13,
                    "assists": 2,
                    "rebounds": 5,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 3,
                    "fouls": 0,
                    "steals": 1,
                    "blocks": 2,
                    "turnovers": 1,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 5,
                    "ft_made": 1,
                    "ft_attempted": 1
                },
                "Jordan Loyd": {
                    "points": 3,
                    "assists": 3,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 2,
                    "blocks": 2,
                    "turnovers": 1,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 0,
                    "ft_made": 1,
                    "ft_attempted": 6
                },
                "Dominik Olejniczak": {
                    "points": 7,
                    "assists": 2,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 1,
                    "ft_made": 4,
                    "ft_attempted": 4
                },
                "Aleksander Dziewa": {
                    "points": 9,
                    "assists": 2,
                    "rebounds": 2,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 2,
                    "turnovers": 2,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 2,
                    "ft_made": 3,
                    "ft_attempted": 4
                },
                "Szymon Zapala": {
                    "points": 9,
                    "assists": 3,
                    "rebounds": 5,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 2,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 4,
                    "ft_made": 4,
                    "ft_attempted": 8
                },
                "Aleksander Balcerowski": {
                    "points": 15,
                    "assists": 5,
                    "rebounds": 6,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 3,
                    "fouls": 0,
                    "steals": 1,
                    "blocks": 3,
                    "turnovers": 3,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 6,
                    "ft_made": 0,
                    "ft_attempted": 3
                },
                "Michal Sokolowski": {
                    "points": 12,
                    "assists": 2,
                    "rebounds": 4,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 2,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 2,
                    "ft_made": 1,
                    "ft_attempted": 1
                },
                "Mateusz Ponitka": {
                    "points": 6,
                    "assists": 2,
                    "rebounds": 4,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 2,
                    "turnovers": 0,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 1,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Kamil Laczynski": {
                    "points": 12,
                    "assists": 7,
                    "rebounds": 5,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 1,
                    "fouls": 2,
                    "steals": 0,
                    "blocks": 4,
                    "turnovers": 3,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 4,
                    "ft_made": 4,
                    "ft_attempted": 7
                }
            }
        },
        "Slovenia": {
            "stats": {
                "points": 106,
                "assists": 46,
                "rebounds": 39,
                "defensive_rebounds": 29,
                "offensive_rebounds": 10,
                "fouls": 19,
                "steals": 11,
                "blocks": 17,
                "turnovers": 13,
                "2pt_shots_made": 24,
                "2pt_shots_attempted": 40,
                "3pt_shots_made": 14,
                "3pt_shots_attempted": 45,
                "ft_made": 16,
                "ft_attempted": 33
            },
            "players": {
                "Gregor Hrovat": {
                    "points": 10,
                    "assists": 6,
                    "rebounds": 3,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 0,
                    "fouls": 5,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 4,
                    "ft_made": 0,
                    "ft_attempted": 2
                },
                "Robert Jurkovic": {
                    "points": 6,
