```json
{
    "matchup": "Belgium vs France",
    "final_score": "Belgium: 183, France: 180",
    "final_stats": {
        "Belgium": {
            "stats": {
                "points": 183,
                "assists": 66,
                "rebounds": 68,
                "defensive_rebounds": 46,
                "offensive_rebounds": 22,
                "fouls": 15,
                "steals": 12,
                "blocks": 22,
                "turnovers": 22,
                "2pt_shots_made": 30,
                "2pt_shots_attempted": 46,
                "3pt_shots_made": 28,
                "3pt_shots_attempted": 53,
                "ft_made": 39,
                "ft_attempted": 61
            },
            "players": {
                "Andy van Vliet": {
                    "points": 23,
                    "assists": 9,
                    "rebounds": 10,
                    "defensive_rebounds": 9,
                    "offensive_rebounds": 1,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 3,
                    "turnovers": 4,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 8,
                    "ft_made": 4,
                    "ft_attempted": 11
                },
                "Emmanuel Lecomte": {
                    "points": 31,
                    "assists": 12,
                    "rebounds": 7,
                    "defensive_rebounds": 5,
                    "offensive_rebounds": 2,
                    "fouls": 0,
                    "steals": 3,
                    "blocks": 8,
                    "turnovers": 4,
                    "2pt_shots_made": 6,
                    "2pt_shots_attempted": 8,
                    "3pt_shots_made": 5,
                    "3pt_shots_attempted": 14,
                    "ft_made": 2,
                    "ft_attempted": 7
                },
                "Godwin Tshimanga": {
                    "points": 19,
                    "assists": 4,
                    "rebounds": 6,
                    "defensive_rebounds": 5,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 0,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 4,
                    "3pt_shots_attempted": 8,
                    "ft_made": 3,
                    "ft_attempted": 9
                },
                "Joppe Mennes": {
                    "points": 0,
                    "assists": 2,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 0,
                    "turnovers": 0,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 0,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Loic Schwartz": {
                    "points": 6,
                    "assists": 4,
                    "rebounds": 5,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 2,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 0,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 4,
                    "ft_made": 3,
                    "ft_attempted": 5
                },
                "Mamadou Guisse": {
                    "points": 20,
                    "assists": 2,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 2,
                    "steals": 0,
                    "blocks": 2,
                    "turnovers": 2,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 4,
                    "3pt_shots_attempted": 4,
                    "ft_made": 6,
                    "ft_attempted": 11
                },
                "Ismael Bako": {
                    "points": 14,
                    "assists": 4,
                    "rebounds": 4,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 1,
                    "fouls": 0,
                    "steals": 1,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 4,
                    "ft_made": 1,
                    "ft_attempted": 1
                },
                "Niels Van Den Eynde": {
                    "points": 7,
                    "assists": 2,
                    "rebounds": 5,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 2,
                    "fouls": 3,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 6,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 1,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Siebe Ledegen": {
                    "points": 9,
                    "assists": 2,
                    "rebounds": 2,
                    "defensive_rebounds": 1,
