```json
{
    "matchup": "Belgium vs Iceland",
    "final_score": "Belgium: 201, Iceland: 161",
    "final_stats": {
        "Belgium": {
            "stats": {
                "points": 201,
                "assists": 44,
                "rebounds": 41,
                "defensive_rebounds": 35,
                "offensive_rebounds": 6,
                "fouls": 11,
                "steals": 15,
                "blocks": 20,
                "turnovers": 12,
                "2pt_shots_made": 40,
                "2pt_shots_attempted": 50,
                "3pt_shots_made": 28,
                "3pt_shots_attempted": 42,
                "ft_made": 37,
                "ft_attempted": 47
            },
            "players": {
                "Hans Vanwijn": {
                    "points": 9,
                    "assists": 2,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 2,
                    "ft_made": 3,
                    "ft_attempted": 8
                },
                "Ismael Bako": {
                    "points": 18,
                    "assists": 7,
                    "rebounds": 5,
                    "defensive_rebounds": 5,
                    "offensive_rebounds": 0,
                    "fouls": 4,
                    "steals": 4,
                    "blocks": 2,
                    "turnovers": 3,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 8,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 3,
                    "ft_made": 7,
                    "ft_attempted": 8
                },
                "Andy van Vliet": {
                    "points": 32,
                    "assists": 6,
                    "rebounds": 6,
                    "defensive_rebounds": 6,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 3,
                    "blocks": 1,
                    "turnovers": 0,
                    "2pt_shots_made": 7,
                    "2pt_shots_attempted": 10,
                    "3pt_shots_made": 5,
                    "3pt_shots_attempted": 9,
                    "ft_made": 3,
                    "ft_attempted": 3
                },
                "Loic Schwartz": {
                    "points": 19,
                    "assists": 11,
                    "rebounds": 8,
                    "defensive_rebounds": 7,
                    "offensive_rebounds": 1,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 9,
                    "turnovers": 2,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 7,
                    "ft_made": 7,
                    "ft_attempted": 9
                },
                "Jean-Marc Mwema": {
                    "points": 8,
                    "assists": 7,
                    "rebounds": 8,
                    "defensive_rebounds": 7,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 2,
                    "turnovers": 2,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 3,
                    "ft_made": 2,
                    "ft_attempted": 3
                },
                "Emmanuel Lecomte": {
                    "points": 12,
                    "assists": 5,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 2,
                    "steals": 2,
                    "blocks": 1,
                    "turnovers": 2,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 2,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Niels Van Den Eynde": {
                    "points": 24,
                    "assists": 3,
                    "rebounds": 8,
                    "defensive_rebounds": 8,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 2,
                    "turnovers": 2,
                    "2pt_shots_made": 6,
                    "2pt_shots_attempted": 9,
                    "3pt_shots_made": 4,
                    "3pt_shots_attempted": 6,
                    "ft_made": 0,
                    "ft_attempted": 3
                },
                "Siebe Ledegen": {
                    "points": 14,
                    "assists": 2,
                    "rebounds": 2,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 4,
                    "turnovers": 1,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 3,
                    "ft_made": 2,
                    "ft_attempted": 3
                },
                "Kevin Tumba": {
                    "points": 4,
                    "assists": 1,
                    "rebounds": 0,
                    "defensive_rebounds": 0,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 0,
                    "turnovers": 0,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 0,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Godwin Tshimanga": {
                    "points": 16,
                    "assists": 2,
                    "rebounds": 2,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 3,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 4,
                    "ft_made": 2,
                    "ft_attempted": 2
                },
                "Mamadou Guisse": {
                    "points": 15,
                    "assists": 5,
                    "rebounds": 2,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 1,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 3,
                    "turnovers": 1,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 5,
                    "ft_made": 2,
                    "ft_attempted": 2
                },
                "Joppe Mennes": {
                    "points": 10,
                    "assists": 3,
                    "rebounds": 2,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 3,
                    "ft_made": 4,
                    "ft_attempted": 7
                }
            }
        },
        "Iceland": {
            "stats": {
                "points": 161,
                "assists": 39,
                "rebounds": 40,
                "defensive_rebounds": 32,
                "offensive_rebounds": 8,
                "fouls": 15,
                "steals": 8,
                "blocks": 15,
                "turnovers": 22,
                "2pt_shots_made": 27,
                "2pt_shots_attempted": 42,
                "3pt_shots_made": 27,
                "3pt_shots_attempted": 52,
                "ft_made": 26,
                "ft_attempted": 41
            },
            "players": {
                "Karl Jonsson": {
                    "points": 17,
                    "assists": 3,
                    "rebounds": 4,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 2,
                    "turnovers": 2,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 4,
                    "ft_made": 4,
                    "ft_attempted": 5
                },
                "Styrmir Thrastarson": {
                    "points": 23,
                    "assists": 6,
                    "rebounds": 6,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 2,
                    "fouls": 2,
                    "steals": 3,
                    "blocks": 2,
                    "turnovers": 4,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 5,
                    "3pt_shots_attempted": 8,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Almar Orri Atlason": {
                    "points": 19,
                    "assists": 7,
                    "rebounds": 2,
                    "defensive_rebounds": 1,
