```json
{
    "matchup": "Iceland vs Poland",
    "final_score": "Iceland: 138, Poland: 147",
    "final_stats": {
        "Iceland": {
            "stats": {
                "points": 138,
                "assists": 35,
                "rebounds": 26,
                "defensive_rebounds": 22,
                "offensive_rebounds": 4,
                "fouls": 15,
                "steals": 10,
                "blocks": 11,
                "turnovers": 15,
                "2pt_shots_made": 28,
                "2pt_shots_attempted": 40,
                "3pt_shots_made": 22,
                "3pt_shots_attempted": 33,
                "ft_made": 8,
                "ft_attempted": 17
            },
            "players": {
                "Hilmar Henningsson": {
                    "points": 21,
                    "assists": 4,
                    "rebounds": 4,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 3,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 4,
                    "3pt_shots_attempted": 6,
                    "ft_made": 1,
                    "ft_attempted": 3
                },
                "Kristinn Palsson": {
                    "points": 3,
                    "assists": 2,
                    "rebounds": 4,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 1,
                    "ft_made": 1,
                    "ft_attempted": 2
                },
                "Tryggvi Hlinason": {
                    "points": 9,
                    "assists": 6,
                    "rebounds": 3,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 0,
                    "fouls": 3,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 1,
                    "ft_made": 2,
                    "ft_attempted": 3
                },
                "Orri Gunnarsson": {
                    "points": 2,
                    "assists": 3,
                    "rebounds": 2,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 3,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 0,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 0,
                    "ft_made": 2,
                    "ft_attempted": 2
                },
