```json
{
    "matchup": "Slovenia vs Poland",
    "final_score": "Slovenia: 58, Poland: 60",
    "final_stats": {
        "Slovenia": {
            "stats": {
                "points": 58,
                "assists": 23,
                "rebounds": 31,
                "defensive_rebounds": 21,
                "offensive_rebounds": 10,
                "fouls": 11,
                "steals": 5,
                "blocks": 11,
                "turnovers": 10,
                "2pt_shots_made": 15,
                "2pt_shots_attempted": 37,
                "3pt_shots_made": 8,
                "3pt_shots_attempted": 29,
                "ft_made": 12,
                "ft_attempted": 22
            },
            "players": {
                "Klemen Prepelic": {
                    "points": 8,
                    "assists": 4,
                    "rebounds": 4,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 2,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 3,
                    "ft_made": 3,
                    "ft_attempted": 5
                },
                "Luka Scuka": {
                    "points": 11,
                    "assists": 3,
                    "rebounds": 7,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 3,
                    "fouls": 4,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 3,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 8,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 8,
                    "ft_made": 2,
                    "ft_attempted": 5
                },
                "Alen Omic": {
                    "points": 0,
                    "assists": 2,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 0,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 0,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Rok Radovic": {
                    "points": 7,
                    "assists": 4,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 0,
                    "steals": 1,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 2,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Mark Padjen": {
                    "points": 8,
                    "assists": 5,
