```json
{
    "matchup": "Slovenia vs Belgium",
    "final_score": "Slovenia: 85, Belgium: 63",
    "final_stats": {
        "Slovenia": {
            "stats": {
                "points": 85,
                "assists": 27,
                "rebounds": 40,
                "defensive_rebounds": 28,
                "offensive_rebounds": 12,
                "fouls": 5,
                "steals": 4,
                "blocks": 10,
                "turnovers": 9,
                "2pt_shots_made": 11,
                "2pt_shots_attempted": 34,
                "3pt_shots_made": 14,
                "3pt_shots_attempted": 25,
                "ft_made": 11,
                "ft_attempted": 29
            },
            "players": {
                "Luka Scuka": {
                    "points": 19,
                    "assists": 3,
                    "rebounds": 4,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 2,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 4,
                    "3pt_shots_attempted": 4,
                    "ft_made": 1,
                    "ft_attempted": 2
                },
                "Martin Krampelj": {
                    "points": 9,
                    "assists": 5,
                    "rebounds": 11,
                    "defensive_rebounds": 9,
                    "offensive_rebounds": 2,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 3,
                    "turnovers": 1,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 4,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Gregor Hrovat": {
                    "points": 3,
                    "assists": 4,
                    "rebounds": 2,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 1,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Klemen Prepelic": {
                    "points": 11,
                    "assists": 1,
                    "rebounds": 3,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 2,
                    "turnovers": 0,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 4,
                    "ft_made": 4,
                    "ft_attempted": 6
                },
