```json
{
    "matchup": "Poland vs Israel",
    "final_score": "Poland: 73, Israel: 67",
    "final_stats": {
        "Poland": {
            "stats": {
                "points": 73,
                "assists": 20,
                "rebounds": 43,
                "defensive_rebounds": 27,
                "offensive_rebounds": 16,
                "fouls": 4,
                "steals": 4,
                "blocks": 7,
                "turnovers": 9,
                "2pt_shots_made": 7,
                "2pt_shots_attempted": 22,
                "3pt_shots_made": 13,
                "3pt_shots_attempted": 24,
                "ft_made": 10,
                "ft_attempted": 18
            },
            "players": {
                "Michal Michalak": {
                    "points": 6,
                    "assists": 4,
                    "rebounds": 4,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 1,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 5,
                    "ft_made": 3,
                    "ft_attempted": 4
                },
                "Szymon Zapala": {
                    "points": 17,
                    "assists": 2,
                    "rebounds": 7,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 3,
                    "fouls": 0,
                    "steals": 2,
                    "blocks": 0,
                    "turnovers": 2,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 8,
                    "ft_made": 2,
                    "ft_attempted": 4
                },
                "Aleksander Balcerowski": {
                    "points": 12,
                    "assists": 5,
                    "rebounds": 9,
                    "defensive_rebounds": 7,
                    "offensive_rebounds": 2,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 3,
                    "ft_made": 7,
                    "ft_attempted": 9
                },
                "Przemyslaw Zolnierewicz": {
                    "points": 10,
                    "assists": 3,
                    "rebounds": 4,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 2,
                    "fouls": 0,
                    "steals": 1,
                    "blocks": 4,
                    "turnovers": 0,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 2,
