```json
{
    "matchup": "Israel vs Belgium",
    "final_score": "Israel: 68, Belgium: 79",
    "final_stats": {
        "Israel": {
            "stats": {
                "points": 68,
                "assists": 18,
                "rebounds": 38,
                "defensive_rebounds": 21,
                "offensive_rebounds": 17,
                "fouls": 13,
                "steals": 2,
                "blocks": 12,
                "turnovers": 11,
                "2pt_shots_made": 8,
                "2pt_shots_attempted": 25,
                "3pt_shots_made": 12,
                "3pt_shots_attempted": 32,
                "ft_made": 16,
                "ft_attempted": 21
            },
            "players": {
                "Roman Sorkin": {
                    "points": 10,
                    "assists": 2,
                    "rebounds": 4,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 2,
                    "fouls": 3,
                    "steals": 1,
                    "blocks": 0,
                    "turnovers": 2,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 7,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 4,
                    "ft_made": 4,
                    "ft_attempted": 6
                },
                "Ethan Burg": {
                    "points": 11,
                    "assists": 2,
                    "rebounds": 6,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 3,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 2,
                    "turnovers": 1,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 6,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Tomer Ginat": {
                    "points": 0,
                    "assists": 0,
                    "rebounds": 9,
                    "defensive_rebounds": 5,
                    "offensive_rebounds": 4,
                    "fouls": 3,
                    "steals": 0,
                    "blocks": 3,
                    "turnovers": 0,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 0,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Yovel Zoosman": {
                    "points": 8,
                    "assists": 3,
                    "rebounds": 5,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 1,
                    "fouls": 2,
                    "steals": 0,
                    "blocks": 3,
                    "turnovers": 3,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 5,
                    "ft_made": 3,
                    "ft_attempted": 4
                },
                "Bar Timor": {
                    "points": 0,
                    "assists": 2,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 0,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 0,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Nimrod Levi": {
                    "points": 0,
                    "assists": 0,
                    "rebounds": 0,
                    "defensive_rebounds": 0,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 0,
