```json
{
    "matchup": "France vs Iceland",
    "final_score": "France: 127, Iceland: 165",
    "final_stats": {
        "France": {
            "stats": {
                "points": 127,
                "assists": 35,
                "rebounds": 39,
                "defensive_rebounds": 31,
                "offensive_rebounds": 8,
                "fouls": 11,
                "steals": 8,
                "blocks": 13,
                "turnovers": 17,
                "2pt_shots_made": 37,
                "2pt_shots_attempted": 61,
                "3pt_shots_made": 11,
                "3pt_shots_attempted": 22,
                "ft_made": 20,
                "ft_attempted": 28
            },
            "players": {
                "Isaia Cordinier": {
                    "points": 16,
                    "assists": 7,
                    "rebounds": 8,
                    "defensive_rebounds": 6,
                    "offensive_rebounds": 2,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 3,
                    "turnovers": 3,
                    "2pt_shots_made": 5,
                    "2pt_shots_attempted": 9,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 4,
                    "ft_made": 0,
                    "ft_attempted": 2
                },
                "Elie Okobo": {
                    "points": 13,
                    "assists": 4,
                    "rebounds": 4,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 1,
                    "blocks": 2,
                    "turnovers": 2,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 3,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Nadir Hifi": {
                    "points": 12,
                    "assists": 3,
                    "rebounds": 3,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 4,
                    "ft_made": 1,
                    "ft_attempted": 2
                },
                "Timothe Luwawu-Cabarrot": {
                    "points": 6,
                    "assists": 3,
                    "rebounds": 5,
                    "defensive_rebounds": 5,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 0,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 1,
                    "ft_made": 1,
                    "ft_attempted": 4
                },
                "Guerschon Yabusele": {
                    "points": 5,
                    "assists": 3,
                    "rebounds": 2,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 4,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 1,
