```json
{
    "matchup": "Poland vs France",
    "final_score": "Poland: 147, France: 163",
    "final_stats": {
        "Poland": {
            "stats": {
                "points": 147,
                "assists": 62,
                "rebounds": 38,
                "defensive_rebounds": 29,
                "offensive_rebounds": 9,
                "fouls": 18,
                "steals": 6,
                "blocks": 13,
                "turnovers": 15,
                "2pt_shots_made": 30,
                "2pt_shots_attempted": 42,
                "3pt_shots_made": 19,
                "3pt_shots_attempted": 38,
                "ft_made": 30,
                "ft_attempted": 44
            },
            "players": {
                "Michal Sokolowski": {
                    "points": 5,
                    "assists": 3,
                    "rebounds": 3,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 0,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 2,
                    "ft_made": 1,
                    "ft_attempted": 2
                },
                "Kamil Laczynski": {
                    "points": 27,
                    "assists": 12,
                    "rebounds": 4,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 2,
                    "fouls": 5,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 2,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 5,
                    "3pt_shots_attempted": 10,
                    "ft_made": 4,
                    "ft_attempted": 4
                },
                "Michal Michalak": {
                    "points": 2,
                    "assists": 3,
                    "rebounds": 2,
                    "defensive_rebounds": 0,
                    "offensive_rebounds": 2,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 0,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Przemyslaw Zolnierewicz": {
                    "points": 14,
                    "assists": 9,
                    "rebounds": 9,
                    "defensive_rebounds": 6,
                    "offensive_rebounds": 3,
                    "fouls": 0,
                    "steals": 1,
                    "blocks": 7,
                    "turnovers": 2,
                    "2pt_shots_made": 5,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 10,
                    "ft_made": 1,
                    "ft_attempted": 6
                },
                "Szymon Zapala": {
                    "points": 9,
                    "assists": 4,
                    "rebounds": 7,
                    "defensive_rebounds": 7,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 2,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 5,
                    "ft_made": 1,
                    "ft_attempted": 3
                },
                "Jordan Loyd": {
                    "points": 20,
                    "assists": 5,
                    "rebounds": 2,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 1,
                    "fouls": 4,
                    "steals": 1,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 5,
                    "ft_made": 2,
                    "ft_attempted": 4
                },
                "Aleksander Dziewa": {
                    "points": 15,
                    "assists": 6,
                    "rebounds": 4,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 2,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 3,
                    "ft_made": 1,
                    "ft_attempted": 3
                },
                "Aleksander Balcerowski": {
                    "points": 2,
                    "assists": 3,
                    "rebounds": 1,
                    "defensive_rebounds": 0,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 2,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Tomasz Gielo": {
                    "points": 16,
                    "assists": 6,
                    "rebounds": 2,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 1,
