```json
{
    "matchup": "Poland vs Slovenia",
    "final_score": "Poland: 163, Slovenia: 161",
    "final_stats": {
        "Poland": {
            "stats": {
                "points": 163,
                "assists": 44,
                "rebounds": 41,
                "defensive_rebounds": 32,
                "offensive_rebounds": 9,
                "fouls": 18,
                "steals": 6,
                "blocks": 15,
                "turnovers": 15,
                "2pt_shots_made": 37,
                "2pt_shots_attempted": 53,
                "3pt_shots_made": 17,
                "3pt_shots_attempted": 26,
                "ft_made": 28,
                "ft_attempted": 37
            },
            "players": {
                "Andrzej Pluta": {
                    "points": 25,
                    "assists": 8,
                    "rebounds": 5,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 2,
                    "fouls": 3,
                    "steals": 1,
                    "blocks": 2,
                    "turnovers": 2,
                    "2pt_shots_made": 7,
                    "2pt_shots_attempted": 9,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 5,
                    "ft_made": 1,
                    "ft_attempted": 2
                },
                "Jordan Loyd": {
                    "points": 0,
                    "assists": 2,
                    "rebounds": 0,
                    "defensive_rebounds": 0,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 1,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Aleksander Dziewa": {
                    "points": 15,
                    "assists": 3,
                    "rebounds": 3,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 3,
                    "turnovers": 1,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 3,
                    "ft_made": 2,
                    "ft_attempted": 5
                },
                "Szymon Zapala": {
                    "points": 18,
                    "assists": 7,
                    "rebounds": 6,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 3,
                    "fouls": 3,
                    "steals": 2,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 8,
                    "2pt_shots_attempted": 11,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 5,
                    "ft_made": 2,
                    "ft_attempted": 3
                },
                "Przemyslaw Zolnierewicz": {
                    "points": 15,
                    "assists": 7,
                    "rebounds": 5,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 2,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 4,
                    "2pt_shots_made": 5,
                    "2pt_shots_attempted": 7,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 3,
                    "ft_made": 2,
                    "ft_attempted": 4
                },
                "Aleksander Balcerowski": {
                    "points": 11,
                    "assists": 3,
                    "rebounds": 7,
                    "defensive_rebounds": 5,
                    "offensive_rebounds": 2,
                    "fouls": 3,
                    "steals": 0,
