```json
{
    "matchup": "Belgium vs Slovenia",
    "final_score": "Belgium: 177, Slovenia: 185",
    "final_stats": {
        "Belgium": {
            "stats": {
                "points": 177,
                "assists": 50,
                "rebounds": 38,
                "defensive_rebounds": 28,
                "offensive_rebounds": 10,
                "fouls": 13,
                "steals": 9,
                "blocks": 10,
                "turnovers": 7,
                "2pt_shots_made": 36,
                "2pt_shots_attempted": 55,
                "3pt_shots_made": 23,
                "3pt_shots_attempted": 37,
                "ft_made": 22,
                "ft_attempted": 32
            },
            "players": {
                "Loic Schwartz": {
                    "points": 6,
                    "assists": 4,
                    "rebounds": 4,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 1,
                    "fouls": 0,
                    "steals": 2,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 2,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Joppe Mennes": {
                    "points": 13,
                    "assists": 5,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 2,
                    "steals": 3,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 4,
                    "ft_made": 0,
                    "ft_attempted": 2
                },
                "Emmanuel Lecomte": {
                    "points": 12,
                    "assists": 7,
                    "rebounds": 3,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 2,
                    "fouls": 0,
                    "steals": 1,
                    "blocks": 0,
                    "turnovers": 2,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 5,
                    "ft_made": 2,
                    "ft_attempted": 5
                },
                "Andy van Vliet": {
                    "points": 10,
                    "assists": 5,
                    "rebounds": 3,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 2,
                    "blocks": 1,
                    "turnovers": 0,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 2,
                    "ft_made": 5,
                    "ft_attempted": 7
                },
                "Godwin Tshimanga": {
                    "points": 3,
                    "assists": 4,
                    "rebounds": 5,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 3,
                    "fouls": 2,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 2,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 0,
                    "ft_made": 1,
                    "ft_attempted": 5
                },
                "Hans Vanwijn": {
                    "points": 14,
                    "assists": 1,
                    "rebounds": 1,
                    "defensive_rebounds": 0,
                    "offensive_rebounds": 1,
                    "fouls": 3,
                    "steals": 1,
