```json
{
    "matchup": "Poland vs Israel",
    "final_score": "Poland: 161, Israel: 153",
    "final_stats": {
        "Poland": {
            "stats": {
                "points": 161,
                "assists": 44,
                "rebounds": 39,
                "defensive_rebounds": 28,
                "offensive_rebounds": 11,
                "fouls": 15,
                "steals": 6,
                "blocks": 18,
                "turnovers": 5,
                "2pt_shots_made": 23,
                "2pt_shots_attempted": 42,
                "3pt_shots_made": 31,
                "3pt_shots_attempted": 50,
                "ft_made": 8,
                "ft_attempted": 17
            },
            "players": {
                "Kamil Laczynski": {
                    "points": 20,
                    "assists": 11,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 3,
                    "turnovers": 0,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 7,
                    "3pt_shots_made": 4,
                    "3pt_shots_attempted": 9,
                    "ft_made": 1,
                    "ft_attempted": 3
                },
                "Tomasz Gielo": {
                    "points": 29,
                    "assists": 8,
                    "rebounds": 6,
                    "defensive_rebounds": 6,
                    "offensive_rebounds": 0,
                    "fouls": 3,
                    "steals": 2,
                    "blocks": 5,
                    "turnovers": 1,
                    "2pt_shots_made": 5,
                    "2pt_shots_attempted": 7,
                    "3pt_shots_made": 5,
                    "3pt_shots_attempted": 9,
                    "ft_made": 4,
                    "ft_attempted": 7
                },
                "Aleksander Balcerowski": {
                    "points": 9,
                    "assists": 1,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 1,
                    "blocks": 2,
                    "turnovers": 0,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 4,
                    "ft_made": 1,
                    "ft_attempted": 3
                },
                "Mateusz Ponitka": {
                    "points": 14,
                    "assists": 5,
                    "rebounds": 2,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 1,
                    "fouls": 0,
                    "steals": 1,
                    "blocks": 0,
                    "turnovers": 0,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 4,
                    "ft_made": 1,
                    "ft_attempted": 2
                },
                "Przemyslaw Zolnierewicz": {
                    "points": 2,
                    "assists": 1,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 0,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 3,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Dominik Olejniczak": {
                    "points": 17,
                    "assists": 6,
                    "rebounds": 9,
                    "defensive_rebounds": 5,
                    "offensive_rebounds": 4,
                    "fouls": 3,
                    "steals": 1,
                    "blocks": 2,
                    "turnovers": 2,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 4,
                    "ft_made": 3,
                    "ft_attempted": 8
                },
                "Andrzej Pluta": {
                    "points": 3,
                    "assists": 3,
                    "rebounds": 0,
                    "defensive_rebounds": 0,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 0,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 0,
                    "ft_made": 1,
                    "ft_attempted": 3
                },
                "Aleksander Dziewa": {
                    "points": 15,
                    "assists": 4,
                    "rebounds": 8,
                    "defensive_rebounds": 7,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 2,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 8,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 5,
                    "ft_made": 1,
                    "ft_attempted": 5
                },
                "Michal Sokolowski": {
                    "points": 0,
                    "assists": 0,
                    "rebounds": 1,
                    "defensive_rebounds": 0,
                    "offensive_rebounds": 1,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 0,
