```json
{
    "matchup": "Israel vs Belgium",
    "final_score": "Israel: 132, Belgium: 119",
    "final_stats": {
        "Israel": {
            "stats": {
                "points": 132,
                "assists": 27,
                "rebounds": 33,
                "defensive_rebounds": 26,
                "offensive_rebounds": 7,
                "fouls": 18,
                "steals": 12,
                "blocks": 13,
                "turnovers": 9,
                "2pt_shots_made": 28,
                "2pt_shots_attempted": 39,
                "3pt_shots_made": 13,
                "3pt_shots_attempted": 26,
                "ft_made": 17,
                "ft_attempted": 30
            },
            "players": {
                "Tomer Ginat": {
                    "points": 11,
                    "assists": 0,
                    "rebounds": 3,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 0,
                    "fouls": 3,
                    "steals": 2,
                    "blocks": 1,
                    "turnovers": 2,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 4,
                    "ft_made": 4,
                    "ft_attempted": 7
                },
                "Khadeen Carrington": {
                    "points": 10,
                    "assists": 1,
                    "rebounds": 2,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 0,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 5,
                    "ft_made": 1,
                    "ft_attempted": 3
                },
                "Yovel Zoosman": {
                    "points": 5,
                    "assists": 3,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 2,
                    "blocks": 1,
                    "turnovers": 0,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 1,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Ethan Burg": {
                    "points": 8,
                    "assists": 4,
                    "rebounds": 3,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 3,
                    "turnovers": 2,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 6,
                    "ft_made": 1,
                    "ft_attempted": 1
                },
                "Guy Palatin": {
                    "points": 13,
                    "assists": 5,
                    "rebounds": 3,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 0,
                    "fouls": 5,
                    "steals": 1,
                    "blocks": 3,
