```json
{
    "matchup": "Iceland vs Poland",
    "final_score": "Iceland: 125, Poland: 169",
    "final_stats": {
        "Iceland": {
            "stats": {
                "points": 125,
                "assists": 27,
                "rebounds": 38,
                "defensive_rebounds": 29,
                "offensive_rebounds": 9,
                "fouls": 15,
                "steals": 6,
                "blocks": 13,
                "turnovers": 15,
                "2pt_shots_made": 30,
                "2pt_shots_attempted": 45,
                "3pt_shots_made": 13,
                "3pt_shots_attempted": 28,
                "ft_made": 26,
                "ft_attempted": 38
            },
            "players": {
                "Tryggvi Hlinason": {
                    "points": 7,
                    "assists": 1,
                    "rebounds": 2,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 0,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 1,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Sigtryggur Bjornsson": {
                    "points": 24,
                    "assists": 7,
                    "rebounds": 5,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 2,
                    "fouls": 4,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 3,
                    "2pt_shots_made": 5,
                    "2pt_shots_attempted": 8,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 4,
                    "ft_made": 5,
                    "ft_attempted": 8
                },
                "Aegir Steinarsson": {
                    "points": 4,
                    "assists": 4,
                    "rebounds": 8,
                    "defensive_rebounds": 8,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 5,
                    "turnovers": 5,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 2,
                    "ft_made": 2,
                    "ft_attempted": 3
                },
                "Karl Jonsson": {
                    "points": 14,
                    "assists": 5,
                    "rebounds": 5,
                    "defensive_rebounds": 5,
                    "offensive_rebounds": 0,
                    "fouls": 2,
                    "steals": 0,
                    "blocks": 2,
                    "turnovers": 3,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 6,
                    "ft_made": 2,
                    "ft_attempted": 6
                },
                "Styrmir Thrastarson": {
                    "points": 5,
                    "assists": 3,
                    "rebounds": 4,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 3,
                    "turnovers": 0,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 2,
                    "ft_made": 1,
                    "ft_attempted": 5
                },
                "Hilmar Henningsson": {
                    "points": 6,
                    "assists": 1,
                    "rebounds": 5,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 2,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 0,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 4,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 2,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Almar Orri Atlason": {
                    "points": 3,
                    "assists": 3,
                    "rebounds": 3,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 2,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 4,
                    "ft_made": 0,
                    "ft_attempted": 3
                },
                "Elvar Fridriksson": {
                    "points": 7,
                    "assists": 2,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 2,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 0,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 1,
                    "ft_made": 4,
                    "ft_attempted": 4
                },
                "Jon Axel Gudmundsson": {
                    "points": 6,
                    "assists": 1,
                    "rebounds": 1,
                    "defensive_rebounds": 0,
                    "offensive_rebounds": 1,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 1,
                    "ft_made": 3,
                    "ft_attempted": 6
                },
                "Kristinn Palsson": {
                    "points": 8,
                    "assists": 4,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 0,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 2,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Orri Gunnarsson": {
                    "points": 5,
                    "assists": 1,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 4,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 0,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 3,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Martin Hermannsson": {
                    "points": 40,
                    "assists": 1,
                    "rebounds": 3,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 0,
                    "turnovers": 2,
                    "2pt_shots_made": 13,
                    "2pt_shots_attempted": 17,
                    "3pt_shots_made": 4,
                    "3pt_shots_attempted": 8,
                    "ft_made": 2,
                    "ft_attempted": 5
                }
            }
        },
        "Poland": {
            "stats": {
                "points": 169,
                "assists": 46,
                "rebounds": 54,
                "defensive_rebounds": 38,
                "offensive_rebounds": 16,
                "fouls": 17,
                "steals": 8,
                "blocks": 10,
                "turnovers": 8,
                "2pt_shots_made": 31,
                "2pt_shots_attempted": 52,
                "3pt_shots_made": 27,
                "3pt_shots_attempted": 42,
                "ft_made": 26,
                "ft_attempted": 43
            },
            "players": {
                "Aleksander Balcerowski": {
                    "points": 18,
                    "assists": 6,
                    "rebounds": 2,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 1,
                    "fouls": 2,
                    "steals": 2,
                    "blocks": 0,
                    "turnovers": 0,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 5,
                    "ft_made": 2,
                    "ft_attempted": 2
                },
                "Dominik Olejniczak": {
                    "points": 13,
                    "assists": 4,
                    "rebounds": 8,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 4,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 4,
                    "turnovers": 1,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 6,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 3,
                    "ft_made": 3,
                    "ft_attempted": 4
                },
                "Michal Sokolowski": {
