```json
{
    "matchup": "Israel vs Belgium",
    "final_score": "Israel: 69, Belgium: 44",
    "final_stats": {
        "Israel": {
            "stats": {
                "points": 69,
                "assists": 15,
                "rebounds": 43,
                "defensive_rebounds": 29,
                "offensive_rebounds": 14,
                "fouls": 6,
                "steals": 4,
                "blocks": 15,
                "turnovers": 7,
                "2pt_shots_made": 14,
                "2pt_shots_attempted": 26,
                "3pt_shots_made": 7,
                "3pt_shots_attempted": 17,
                "ft_made": 10,
                "ft_attempted": 22
            },
            "players": {
                "Khadeen Carrington": {
                    "points": 8,
                    "assists": 5,
                    "rebounds": 6,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 3,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 4,
                    "turnovers": 4,
                    "2pt_shots_made": 3,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 3,
                    "ft_made": 2,
                    "ft_attempted": 6
                },
                "Nimrod Levi": {
                    "points": 21,
                    "assists": 4,
                    "rebounds": 8,
                    "defensive_rebounds": 5,
                    "offensive_rebounds": 3,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 5,
                    "turnovers": 0,
                    "2pt_shots_made": 4,
                    "2pt_shots_attempted": 8,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 7,
                    "ft_made": 4,
                    "ft_attempted": 7
                },
                "Tomer Ginat": {
                    "points": 4,
                    "assists": 0,
                    "rebounds": 3,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 0,
                    "fouls": 0,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 0,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Yam Madar": {
                    "points": 0,
                    "assists": 0,
                    "rebounds": 1,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 0,
